Date,Close/Last,Volume,Open,High,Low
04/23/2024,32.46,6615,32.11,32.50,32.11
04/22/2024,31.86,2989,31.83,31.9665,31.74
04/19/2024,31.55,5432,31.55,31.62,31.41
04/18/2024,31.51,475642,31.64,31.7401,31.47
04/17/2024,31.71,1458,31.731,31.731,31.58
04/16/2024,31.44,4461,31.63,31.63,31.2112
04/15/2024,31.79,5511,32.29,32.29,31.75
04/12/2024,31.75,30577,31.89,31.90,31.6706
04/11/2024,32.27,12847,32.39,32.39,31.984
04/10/2024,32.50,15515,32.40,32.5801,32.35
04/09/2024,32.84,3376,33.08,33.08,32.733
04/08/2024,33.22,48832,33.12,33.29,33.12
04/05/2024,32.87,5473,32.85,32.99,32.8039
04/04/2024,32.9005,14072,33.51,33.51,32.83
04/03/2024,33.26,12722,32.9318,33.3499,32.9318
04/02/2024,32.86,21820,33.01,33.01,32.86
04/01/2024,33.25,31673,33.40,33.57,33.18
03/28/2024,33.4026,4308,33.38,33.45,33.28
03/27/2024,33.53,6088,33.48,33.53,33.39
03/26/2024,33.15,12253,33.29,33.37,33.15
03/25/2024,33.07,10229,32.97,33.1099,32.95
03/22/2024,32.93,3969,32.90,32.9699,32.90
03/21/2024,32.90,8561,32.95,33.06,32.88
03/20/2024,33.1427,7255,32.7096,33.18,32.61
03/19/2024,32.6414,5498,32.57,32.645,32.555
03/18/2024,32.5556,3530,32.80,32.80,32.55
03/15/2024,32.6946,8169,32.80,32.96,32.58
03/14/2024,32.58,3817,32.75,32.75,32.485
03/13/2024,32.89,7126,32.88,32.9594,32.76
03/12/2024,32.77,12662,32.52,32.8941,32.52
03/11/2024,32.50,33669,32.44,32.5316,32.26
03/08/2024,32.49,3844,32.71,32.7599,32.49
03/07/2024,32.64,3577,32.565,32.7399,32.565
03/06/2024,32.29,4632,32.35,32.35,32.2157
03/05/2024,32.10,3872,32.14,32.20,31.9724
03/04/2024,32.10,14433,32.14,32.21,32.09
03/01/2024,32.22,4993,32.07,32.22,32.00
02/29/2024,32.08,3276,32.12,32.21,31.97
02/28/2024,31.92,9479,31.79,31.9447,31.77
02/27/2024,31.82,5815,31.81,31.883,31.775
02/26/2024,31.62,16083,31.64,31.97,31.54
02/23/2024,31.485,3378,31.48,31.51,31.465
02/22/2024,31.47,20625,31.31,31.74,31.27
02/21/2024,30.925,4392,30.88,30.925,30.7701
02/20/2024,30.83,4824,30.82,31.18,30.7233
02/16/2024,30.715,4035,30.73,30.827,30.68
02/15/2024,30.69,3144,30.52,30.72,30.52
02/14/2024,30.36,26998,30.22,30.36,30.22
02/13/2024,30.10,7712,30.0701,30.18,29.9257
02/12/2024,30.55,6895,30.47,30.64,30.43
02/09/2024,30.50,4794,30.48,30.52,30.3738
02/08/2024,30.555,1335,30.53,30.63,30.48
02/07/2024,30.43,2657,30.50,30.5584,30.3556
02/06/2024,30.5684,5861,30.38,30.586,30.38
02/05/2024,30.355,14473,30.35,30.40,30.14
02/02/2024,30.53,2929,30.53,30.56,30.3911
